DATE,NASDAQCOM
7/25/2013,3605.19
7/26/2013,3613.16
7/29/2013,3599.14
7/30/2013,3616.47
7/31/2013,3626.37
8/1/2013,3675.74
8/2/2013,3689.59
8/5/2013,3692.95
8/6/2013,3665.77
8/7/2013,3654.01
8/8/2013,3669.12
8/9/2013,3660.11
8/12/2013,3669.95
8/13/2013,3684.44
8/14/2013,3669.27
8/15/2013,3606.12
8/16/2013,3602.78
8/19/2013,3589.09
8/20/2013,3613.59
8/21/2013,3599.79
8/22/2013,3638.71
8/23/2013,3657.79
8/26/2013,3657.57
8/27/2013,3578.52
8/28/2013,3593.35
8/29/2013,3620.3
8/30/2013,3589.87
9/2/2013,.
9/3/2013,3612.61
9/4/2013,3649.04
9/5/2013,3658.78
9/6/2013,3660.01
9/9/2013,3706.18
9/10/2013,3729.02
9/11/2013,3725.01
9/12/2013,3715.97
9/13/2013,3722.18
9/16/2013,3717.85
9/17/2013,3745.7
9/18/2013,3783.64
9/19/2013,3789.38
9/20/2013,3774.73
9/23/2013,3765.29
9/24/2013,3768.25
9/25/2013,3761.1
9/26/2013,3787.43
9/27/2013,3781.59
9/30/2013,3771.48
10/1/2013,3817.98
10/2/2013,3815.02
10/3/2013,3774.34
10/4/2013,3807.75
10/7/2013,3770.38
10/8/2013,3694.83
10/9/2013,3677.78
10/10/2013,3760.75
10/11/2013,3791.87
10/14/2013,3815.27
10/15/2013,3794.01
10/16/2013,3839.43
10/17/2013,3863.15
10/18/2013,3914.28
10/21/2013,3920.05
10/22/2013,3929.57
10/23/2013,3907.07
10/24/2013,3928.96
10/25/2013,3943.36
10/28/2013,3940.13
10/29/2013,3952.34
10/30/2013,3930.62
10/31/2013,3919.71
11/1/2013,3922.04
11/4/2013,3936.59
11/5/2013,3939.86
11/6/2013,3931.95
11/7/2013,3857.33
11/8/2013,3919.23
11/11/2013,3919.79
11/12/2013,3919.92
11/13/2013,3965.58
11/14/2013,3972.74
11/15/2013,3985.97
11/18/2013,3949.07
11/19/2013,3931.55
11/20/2013,3921.27
11/21/2013,3969.15
11/22/2013,3991.65
11/25/2013,3994.57
11/26/2013,4017.75
11/27/2013,4044.75
11/28/2013,.
11/29/2013,4059.89
12/2/2013,4045.26
12/3/2013,4037.2
12/4/2013,4038
12/5/2013,4033.16
12/6/2013,4062.52
12/9/2013,4068.75
12/10/2013,4060.49
12/11/2013,4003.81
12/12/2013,3998.4
12/13/2013,4000.98
12/16/2013,4029.52
12/17/2013,4023.68
12/18/2013,4070.06
12/19/2013,4058.13
12/20/2013,4104.74
12/23/2013,4148.9
12/24/2013,4155.42
12/25/2013,.
12/26/2013,4167.18
12/27/2013,4156.59
12/30/2013,4154.2
12/31/2013,4176.59
1/1/2014,.
1/2/2014,4143.07
1/3/2014,4131.91
1/6/2014,4113.68
1/7/2014,4153.18
1/8/2014,4165.61
1/9/2014,4156.19
1/10/2014,4174.66
1/13/2014,4113.3
1/14/2014,4183.02
1/15/2014,4214.88
1/16/2014,4218.69
1/17/2014,4197.58
1/20/2014,.
1/21/2014,4225.76
1/22/2014,4243
1/23/2014,4218.87
1/24/2014,4128.17
1/27/2014,4083.61
1/28/2014,4097.96
1/29/2014,4051.43
1/30/2014,4123.13
1/31/2014,4103.88
2/3/2014,3996.96
2/4/2014,4031.52
2/5/2014,4011.55
2/6/2014,4057.12
2/7/2014,4125.86
2/10/2014,4148.17
2/11/2014,4191.04
2/12/2014,4201.29
2/13/2014,4240.67
2/14/2014,4244.03
2/17/2014,.
2/18/2014,4272.78
2/19/2014,4237.95
2/20/2014,4267.55
2/21/2014,4263.41
2/24/2014,4292.97
2/25/2014,4287.59
2/26/2014,4292.06
2/27/2014,4318.93
2/28/2014,4308.12
3/3/2014,4277.3
3/4/2014,4351.97
3/5/2014,4357.97
3/6/2014,4352.13
3/7/2014,4336.22
3/10/2014,4334.45
3/11/2014,4307.19
3/12/2014,4323.33
3/13/2014,4260.42
3/14/2014,4245.4
